place,type_of_meteorite,mass_g,year,cartodb_id,year_date,longitude,latitude
Ur,Iron,0,-2500,34242,,"46,01667","30,9"
A-881561,H4,"836,87",1988,4141,01.01.1988 00:00,26,-72
Wietrzno-Bobrka,Iron,376,-600,6037,,"21,7","49,41667"
A-881448,H4,"341,27",1988,6340,01.01.1988 00:00,26,-72
A-881813,L6,"296,96",1988,6753,01.01.1988 00:00,26,-72
A-881637,L3,"195,62",1988,8147,01.01.1988 00:00,26,-72
A-881993,L6,"144,89",1988,9211,01.01.1988 00:00,26,-72
A-881363,L4,"105,42",1988,10471,01.01.1988 00:00,26,-72
A-9034,L6,"75,15",1990,11885,01.01.1990 00:00,26,-72
A-881246,H4,"57,07",1988,13071,01.01.1988 00:00,26,-72
A-87025,H4,"53,52",1987,13361,01.01.1987 00:00,26,-72
A-881064,L6,"53,29",1988,13387,01.01.1988 00:00,26,-72
A-87119,L5,"39,19",1987,14831,01.01.1987 00:00,26,-72
A-87208,H5,"37,65",1987,15018,01.01.1987 00:00,26,-72
A-880742,H4,"37,14",1988,15082,01.01.1988 00:00,26,-72
A-881998,H4,"33,47",1988,15597,01.01.1988 00:00,26,-72
A-87139,L6,"29,69",1987,16195,01.01.1987 00:00,26,-72
A-881555,LL6,"27,34",1988,16606,01.01.1988 00:00,26,-72
A-881432,LL6,"22,82",1988,17575,01.01.1988 00:00,26,-72
A-880969,H6,"16,62",1988,19356,01.01.1988 00:00,26,-72
A-87122,Eucrite,"15,9",1987,19583,01.01.1987 00:00,26,-72
A-880036,L6,"14,34",1988,20155,01.01.1988 00:00,26,-72
A-881366,L6,"13,33",1988,20588,01.01.1988 00:00,26,-72
A-880755,H4,"11,9",1988,21244,01.01.1988 00:00,26,-72
A-881752,H5,"10,57",1988,21940,01.01.1988 00:00,26,-72
QUE 97109,LL5,"2,7",1997,28920,01.01.1997 00:00,168,-84
Havana,"Iron, IAB complex",0,-300,34243,,"-90,05","40,33333"
Lucania,Doubtful Iron,0,-56,34244,,16,"40,5"
Angers,L6,0,1822,34310,1822-01-01 00:00:00,"-0,55","47,46667"
Itapuranga,"Iron, IAB-MG",628000,,68,,"-50,15","-15,58333"
Guixi,"Iron, IIIAB",220000,,149,,"117,18333","28,28333"
Moshesh,H,200000,,163,,"28,71667","-30,1"
Camp Wood,"Iron, IIIAB",148000,,200,,"-99,875","29,7725"
Karavannoe,"Pallasite, PES",132000,,219,,"47,67967","57,78117"
Wiltshire,H5,92750,,286,,"-1,81","51,14967"
NWA 055,L4,42000,,503,,"-3,03333","32,05"
Valencia,H5,33500,,581,,"-0,03333",39
NWA 059,H3.9/4,27000,,662,,"-2,93333","31,83333"
Apache Junction,"Iron, IIIAB",25000,,707,,"-111,51667","33,45"
RaS 428,L6,16247,,924,,"56,32694","20,10361"
Um-Hadid,Mesosiderite,15400,,957,,"50,59667","21,695"
Squaw Creek,"Iron, IIAB",14500,,987,,-98,32
NWA 725,Acapulcoite,3824,,2007,,"-5,05","30,6"
Hughes 003,H5,3200,,2198,,"129,4","-30,23333"
Fuzzy Creek,"Iron, IVA",2700,,2372,,"-99,90417","31,61111"
JaH 719,L6,2144,,2628,,"55,73472","19,66056"
JaH 723,H4,1876,,2820,,"55,57917","19,64056"
Sumampa,Pseudometeorite,"1710,5",,2947,,"-63,35","-29,33333"
Dho 1744,H5,1414,,3220,,"54,58583","19,14972"
JaH 733,H6,1296,,3360,,"56,21417","19,56056"
JaH 761,H5,1251,,3404,,"56,39194","19,945"
JaH 764,L5,1236,,3430,,"56,48167","19,80639"
NWA 724,LL3,1200,,3488,,"-5,86667","30,23333"
JaH 791,L6,1194,,3493,,"55,70389","19,72861"
NWA 050,H5,1145,,3552,,"-5,58333","29,91667"
JaH 742,L4,1144,,3553,,"56,46972","19,82694"
JaH 737,L5,1137,,3563,,"56,40333","19,7675"
NWA 058,L6,1091,,3626,,"-9,5","27,16667"
Hughes 002,L6,1074,,3645,,"129,63333","-30,56667"
JaH 730,L4,1040,,3713,,"55,5825","19,635"
JaH 729,L5,951,,3891,,"55,56333","19,66278"
JaH 790,L6,868,,4067,,"55,73306","19,70444"
JaH 721,H5,859,,4085,,"55,68306","19,68722"
Dho 1738,L5,853,,4097,,"54,90694","19,32694"
HaH 260,L6,530,,5096,,"12,94717","28,613"
Elizabeth,"Iron, IAB-ung",732,,4394,,"-90,221","42,318"
JaH 739,L4,587,,4869,,"56,43583","19,83278"
JaH 783,L4,"553,5",,4999,,"56,42056","19,84306"
JaH 782,L4,532,,5087,,"56,54472","19,79778"
JaH 726,L6,507,,5193,,"55,25472","19,69833"
JaH 738,H5,469,,5396,,"56,39778","19,76806"
Fengzhen,"Iron, IIIAB",458,,5443,,113,"40,5"
NWA 056,H5,436,,5591,,"-9,5","27,16667"
JaH 793,L5,420,,5691,,"55,95778","19,92944"
NWA 2036,EL6,390,,5920,,"-5,76667","31,59167"
NWA 053,R4,390,,5921,,"-3,03333","32,05"
JaH 794,L5,387,,5955,,"55,98778","19,96944"
JaH 751,L5,378,,6026,,"56,44722","19,82889"
JaH 734,L4,371,,6080,,"56,43056","19,18222"
NWA 057,H5,370,,6090,,"-9,5","27,16667"
JaH 778,L4,367,,6119,,"56,4375","19,83028"
JaH 740,L4,354,,6234,,"56,48472","19,78917"
NWA 726,H4,354,,6235,,-4,"31,03333"
JaH 792,H6,353,,6244,,"55,9325","19,81889"
JaH 759,L5,347,,6296,,"55,71917","19,71556"
NWA 051,L4,330,,6445,,"-5,58333","29,91667"
NWA 054,LL5,305,,6668,,"-3,03333","32,05"
JaH 658,Unknown,303,,6688,,"55,17693","19,10548"
JaH 727,L6,301,,6702,,"55,755","19,69889"
JaH 722,H5,291,,6811,,"55,63611","19,67417"
JaH 758,L6,271,,7026,,"55,6875","19,77472"
JaH 750,L5,269,,7048,,"56,46556","19,82306"
Colonia Suiza,Pseudometeorite,250,,7290,,"-71,38333","-41,18333"
JaH 797,L5,249,,7299,,"55,57111","19,73306"
JaH 786,L5,227,,7620,,"55,88722","19,84139"
JaH 789,L6,227,,7621,,"55,74222","19,70639"
Dho 911,Lunar (anorth),194,,8177,,"54,77667","19,33167"
JaH 784,H4,182,,8408,,"56,42083","19,84333"
JaH 757,LL5,178,,8484,,"55,70944","19,72139"
JaH 752,L5,174,,8562,,"56,44056","19,82361"
JaH 720,H4,172,,8609,,"55,68361","19,68611"
JaH 781,L4,169,,8665,,"56,43361","19,7975"
JaH 732,L5,154,,8998,,"56,22694","19,69611"
JA 003,L5,148,,9141,,"56,42611","18,96889"
Dho 910,Lunar (anorth),142,,9275,,"54,7789","19,33173"
JaH 774,L4,131,,9585,,"56,42222","19,81111"
JaH 777,L4,130,,9625,,"56,445","19,82"
Dho 1739,H4,130,,9626,,"54,89417","19,17694"
Dho 1618,Unknown,"129,8",,9632,,"54,86961","19,35514"
Sleeper Camp 005,H5,129,,9656,,"126,29233","-30,17367"
Dho 1750,H5,123,,9840,,"54,61472","19,18639"
JaH 788,H4,108,,10372,,"55,71778","19,73361"
JaH 743,L4,105,,10502,,"56,48194","19,83028"
RaS 426,H4,92,,11053,,"56,3975","20,11306"
JaH 767,L4,91,,11090,,"56,51083","19,81083"
Espiritu Santo,"Iron, IIIAB",89,,11189,,"-102,18333",20
Dho 1752,H5,88,,11242,,"54,74583","19,23722"
JaH 776,L4,85,,11369,,"56,49028","19,81639"
Dho 1743,L4,84,,11408,,"54,87944","19,06083"
Dho 1747,H5,81,,11576,,"54,50917","19,05556"
Shi��r 173,Unknown,"74,6",,11912,,"53,90467","18,63578"
JaH 756,L5,74,,11956,,"56,45389","19,85944"
JaH 766,L4,73,,12007,,"56,49083","19,81222"
JaH 731,H4,"72,3",,12035,,"55,57056","19,56778"
JaH 728,H4,69,,12247,,"55,69806","19,68111"
Dho 1741,H5,66,,12456,,"54,82167","19,10778"
JaH 768,L4,64,,12577,,"56,51056","19,81111"
R�_o Cuarto 001,Eucrite,"62,7",,12665,,"-64,22333","-32,87167"
JaH 763,L5,62,,12721,,"56,44167","19,84389"
JaH 779,L4,57,,13086,,"56,44389","19,84528"
JaH 754,L5,51,,13602,,"56,46056","19,84917"
JaH 725,L5,49,,13788,,"55,75528","19,74806"
JaH 760,H5,49,,13789,,"55,59361","19,68194"
JaH 762,L5,46,,14074,,"56,43611","19,84861"
JaH 765,H4,45,,14191,,"56,46917","19,80333"
Kurumi,Pseudometeorite,44,,14305,,"135,11667","34,68333"
JaH 771,L4,"40,3",,14697,,"56,51194","19,81167"
JaH 772,H4,"39,6",,14785,,"56,51056","19,81194"
JaH 747,L5,"37,9",,14996,,"56,43639","19,84972"
JaH 785,L6,"36,7",,15161,,"56,32667","19,99694"
JaH 769,L4,"36,5",,15194,,"56,51139","19,81111"
Dho 1749,H5,"35,3",,15352,,"54,75667","19,16083"
Dho 1748,H5,"34,4",,15463,,"54,57556","19,07611"
JaH 753,L5,"34,2",,15498,,"56,45917","19,8475"
JaH 735,H6,"33,4",,15607,,"56,30389","19,50583"
JaH 749,L5,33,,15663,,"56,44139","19,84806"
JaH 780,L4,"32,5",,15735,,"56,44056","19,82361"
JaH 741,L4,"31,6",,15884,,"56,49028","19,81333"
Dho 1740,L6,"30,8",,16010,,"54,88167","19,16417"
JaH 745,L4,"30,5",,16057,,"56,46556","19,84528"
Aus,L,"30,2",,16099,,"16,25","-26,66667"
JaH 770,L4,26,,16885,,"56,49083","19,81222"
JaH 736,L4,"24,7",,17160,,"56,48278","19,82889"
JaH 746,L4,"22,9",,17571,,"56,46556","19,84528"
JaH 796,L5,"22,8",,17590,,"55,74861","19,80861"
Dho 1751,H5,"20,9",,18054,,"54,5875","19,2025"
JaH 773,L4,"19,32",,18537,,"56,50972","19,81167"
Dho 1746,H5,"19,2",,18581,,"54,5125","19,05667"
JaH 748,L5,"18,8",,18704,,"56,43833","19,84917"
JaH 775,L4,"17,9",,19006,,"56,50917","19,81167"
JaH 755,L5,"17,5",,19117,,"56,46139","19,83528"
JaH 744,L4,"17,3",,19168,,"56,45194","19,845"
Nuevo Mercurio (c),H5-6,"16,8",,19310,,"-102,14083","24,26"
JaH 724,L6,"14,2",,20218,,"55,60444","19,63972"
Dho 1745,H5,"12,1",,21158,,"54,50556","19,07833"
RaS 427,H5,"7,6",,23877,,"56,40972","20,09889"
JaH 787,L6,"6,8",,24490,,"55,72139","19,81944"
JaH 795,L4,"5,3",,25705,,"55,89528","19,88361"
Dho 1742,H5,"4,4",,26638,,"54,82722","19,10889"
SaU 557,H4,3,,28502,,"56,51111","20,17417"
Dho 1073,CV3,"2,72",,28860,,"54,78217","19,33302"
Oasis,Impact Crater,0,,34066,,"24,4","24,58333"
Chukcha,Impact Crater,0,,34067,,"97,8","75,7"
Logancha,Impact Crater,0,,34068,,"95,93333","65,51667"
Gardnos,Impact Crater,0,,34069,,9,"60,65"
Bigach,Impact Crater,0,,34070,,"82,01667","48,56667"
Dhala,Impact Crater,0,,34071,,"78,13333","25,3"
Lonar,Impact Crater,0,,34072,,"76,51667","19,96667"
Kara-Kul,Impact Crater,0,,34073,,"73,45","39,01667"
Shunak,Impact Crater,0,,34074,,"72,7","47,2"
Kara,Impact Crater,0,,34075,,"64,15","69,1"
Ragozinka,Impact Crater,0,,34076,,"61,8","58,73333"
Chiyli,Impact Crater,0,,34077,,"57,85","49,16667"
Wabar [crater],Impact Crater,0,,34078,,"50,46667","21,5"
Tin Bider,Impact Crater,0,,34079,,"5,11667","27,6"
Karla,Impact Crater,0,,34080,,"48,03333","54,91667"
Puchezh-Katunki,Impact Crater,0,,34081,,"43,71667","56,96667"
Gusev,Impact Crater,0,,34082,,"40,53333","48,43333"
Kamensk,Impact Crater,0,,34083,,"40,5","48,35"
Amguid,Impact Crater,0,,34084,,"4,38333","26,08333"
Talemzane,Impact Crater,0,,34085,,"4,03333","33,31667"
Jebel Waqf as Suwwan,Impact Crater,0,,34086,,"36,8","31,05"
Kaluga,Impact Crater,0,,34087,,"36,2","54,5"
Kursk,Impact Crater,0,,34088,,36,"51,7"
Ternovka,Impact Crater,0,,34089,,"33,51667","48,13333"
Suavj�_rvi,Impact Crater,0,,34090,,"33,38333","63,11667"
Obolon',Impact Crater,0,,34091,,"32,91667","49,58333"
Boltysh,Impact Crater,0,,34092,,"32,16667","48,75"
Rotmistrovka,Impact Crater,0,,34093,,32,49
J�_nisj�_rvi,Impact Crater,0,,34094,,"30,91667","61,96667"
Mj��lnir,Impact Crater,0,,34095,,"29,66667","73,8"
Ilyinets,Impact Crater,0,,34096,,"29,1","49,11667"
Paasselk�_,Impact Crater,0,,34097,,"29,08333","62,03333"
Saarij�_rvi,Impact Crater,0,,34098,,"28,38333","65,28333"
Suvasvesi N,Impact Crater,0,,34099,,"28,16667","62,7"
Tswaing,Impact Crater,0,,34100,,"28,08333","-25,4"
Mishina Gora,Impact Crater,0,,34101,,"28,05","58,71667"
Logoisk,Impact Crater,0,,34102,,"27,8","54,2"
Kgagodi,Impact Crater,0,,34103,,"27,58333","-22,48333"
Vredefort,Impact Crater,0,,34104,,"27,5",-27
Ilumets�_,Impact Crater,0,,34105,,"27,41667","57,96667"
Iso-Naakkima,Impact Crater,0,,34106,,"27,15","62,18333"
Kamil,Impact Crater,0,,34107,,"26,083333","22,016667"
Karikkoselk�_,Impact Crater,0,,34108,,"25,25","62,21667"
Keurusselk�_,Impact Crater,0,,34109,,"24,6","62,13333"
Vepriai,Impact Crater,0,,34110,,"24,58333","55,08333"
Kalkkop,Impact Crater,0,,34111,,"24,56667","-32,71667"
B.P. Structure,Impact Crater,0,,34112,,"24,33333","25,31667"
Mizarai,Impact Crater,0,,34113,,"23,9","54,01667"
Arkenu 1,Impact Crater,0,,34114,,"23,75","22,06667"
Arkenu 2,Impact Crater,0,,34115,,"23,75","22,06667"
Lappaj�_rvi,Impact Crater,0,,34116,,"23,7","63,2"
Neugrund,Impact Crater,0,,34117,,"23,66667","59,33333"
Morokweng [crater],Impact Crater,0,,34118,,"23,53333","-26,46667"
Dobele,Impact Crater,0,,34119,,"23,25","56,58333"
K�_rdla,Impact Crater,0,,34120,,"22,76667","59,01667"
Kaalij�_rv [crater],Impact Crater,0,,34121,,"22,66667","58,4"
S�_�_ksj�_rvi,Impact Crater,0,,34122,,"22,4","61,4"
Gweni-Fada,Impact Crater,0,,34123,,"21,75","17,41667"
Șderfj�_rden,Impact Crater,0,,34124,,"21,58333","63,03333"
Lumparn,Impact Crater,0,,34125,,"20,1","60,15"
Aorounga,Impact Crater,0,,34126,,"19,25","19,1"
El'gygytgyn,Impact Crater,0,,34127,,"172,08333","67,5"
Tv�_ren,Impact Crater,0,,34128,,"17,41667","58,76667"
Morasko [crater],Impact Crater,0,,34129,,"16,9","52,48333"
Dellen,Impact Crater,0,,34130,,"16,8","61,8"
Roter Kamm,Impact Crater,0,,34131,,"16,3","-27,76667"
Tookoonooka,Impact Crater,0,,34132,,"142,83333","-27,11667"
Granby,Impact Crater,0,,34133,,"14,93333","58,41667"
Siljan,Impact Crater,0,,34134,,"14,86667","61,03333"
Mien,Impact Crater,0,,34135,,"14,86667","56,41667"
Lockne,Impact Crater,0,,34136,,"14,81667",63
Flaxman,Impact Crater,0,,34137,,"139,06667","-34,61667"
Crawford,Impact Crater,0,,34138,,"139,03333","-34,71667"
Lawn Hill,Impact Crater,0,,34139,,"138,65","-18,66667"
Sobolev,Impact Crater,0,,34140,,"137,86667","46,3"
Foelsche,Impact Crater,0,,34141,,"136,78333","-16,66667"
Acraman,Impact Crater,0,,34142,,"135,45","-32,01667"
Mount Toondina,Impact Crater,0,,34143,,"135,36667","-27,95"
Boxhole [crater],Impact Crater,0,,34144,,"135,2","-22,61667"
Goyder,Impact Crater,0,,34145,,"135,03333","-13,15"
Sikhote Alin [crater],Impact Crater,0,,34146,,"134,66667","46,11667"
Amelia Creek,Impact Crater,0,,34147,,"134,08333","-20,91667"
Liverpool,Impact Crater,0,,34148,,"134,05","-12,4"
Kelly West,Impact Crater,0,,34149,,"133,95","-19,93333"
Strangways,Impact Crater,0,,34150,,"133,58333","-15,2"
Henbury [crater],Impact Crater,0,,34151,,"133,13333","-24,56667"
Gosses Bluff,Impact Crater,0,,34152,,"132,31667","-23,81667"
Piccaninny,Impact Crater,0,,34153,,"128,41667","-17,53333"
Wolfe Creek [crater],Impact Crater,0,,34154,,"127,8","-19,16667"
Goat Paddock,Impact Crater,0,,34155,,"126,66667","-18,33333"
Spider,Impact Crater,0,,34156,,"126,08333","-16,73333"
Veevers [crater],Impact Crater,0,,34157,,"125,36667","-22,96667"
Connolly Basin,Impact Crater,0,,34158,,"124,75","-23,53333"
Xiuyan,Impact Crater,0,,34159,,"123,45","40,35"
Beyenchime-Salaatin,Impact Crater,0,,34160,,"121,66667",71
Glikson,Impact Crater,0,,34161,,"121,56667","-23,98333"
Shoemaker,Impact Crater,0,,34162,,"120,88333","-25,86667"
Macha,Impact Crater,0,,34163,,"117,58333","60,1"
Dalgaranga [crater],Impact Crater,0,,34164,,"117,28333","-27,63333"
Woodleigh,Impact Crater,0,,34165,,"114,65","-26,05"
Popigai,Impact Crater,0,,34166,,"111,18333","71,65"
Tabun-Khara-Obo,Impact Crater,0,,34167,,"109,65","44,11667"
Ries,Impact Crater,0,,34168,,"10,61667","48,88333"
Steinheim,Impact Crater,0,,34169,,"10,06667","48,68333"
Rochechouart,Impact Crater,0,,34170,,"0,93333","45,83333"
Haviland [crater],Impact Crater,0,,34171,,"-99,16667","37,58333"
Saint Martin,Impact Crater,0,,34172,,"-98,53333","51,78333"
Ames,Impact Crater,0,,34173,,"-98,2","36,25"
Marquez,Impact Crater,0,,34174,,"-96,3","31,28333"
West Hawk,Impact Crater,0,,34175,,"-95,18333","49,76667"
Manson,Impact Crater,0,,34176,,"-94,55","42,58333"
Decaturville,Impact Crater,0,,34177,,"-92,71667","37,9"
Rock Elm,Impact Crater,0,,34178,,"-92,23333","44,71667"
Crooked Creek,Impact Crater,0,,34179,,"-91,38333","37,83333"
Glasford,Impact Crater,0,,34180,,"-89,78333","40,6"
Haughton,Impact Crater,0,,34181,,"-89,68333","75,36667"
Glover Bluff,Impact Crater,0,,34182,,"-89,53333","43,96667"
Chicxulub,Impact Crater,0,,34183,,"-89,5","21,33333"
Des Plaines,Impact Crater,0,,34184,,"-87,86667","42,05"
Wells Creek,Impact Crater,0,,34185,,"-87,66667","36,38333"
Kentland,Impact Crater,0,,34186,,"-87,4","40,75"
Slate Islands,Impact Crater,0,,34187,,-87,"48,66667"
Wetumpka,Impact Crater,0,,34188,,"-86,16667","32,51667"
Calvin,Impact Crater,0,,34189,,"-85,95","41,83333"
Flynn Creek,Impact Crater,0,,34190,,"-85,66667","36,28333"
Middlesboro,Impact Crater,0,,34191,,"-83,73333","36,61667"
Serpent Mound,Impact Crater,0,,34192,,"-83,4","39,03333"
Sudbury,Impact Crater,0,,34193,,"-81,18333","46,6"
Wanapitei,Impact Crater,0,,34194,,"-80,75","46,75"
Brent,Impact Crater,0,,34195,,"-78,48333","46,08333"
Holleford,Impact Crater,0,,34196,,"-76,63333","44,46667"
Chesapeake Bay,Impact Crater,0,,34197,,"-76,01667","37,28333"
Couture,Impact Crater,0,,34198,,"-75,33333","60,13333"
Presqu'ile,Impact Crater,0,,34199,,"-74,8","49,71667"
Clearwater West,Impact Crater,0,,34200,,"-74,5","56,21667"
Clearwater East,Impact Crater,0,,34201,,"-74,11667","56,08333"
Ile Rouleau,Impact Crater,0,,34202,,"-73,88333","50,68333"
New Quebec,Impact Crater,0,,34203,,"-73,66667","61,28333"
Charlevoix,Impact Crater,0,,34204,,"-70,3","47,53333"
Ouarkziz,Impact Crater,0,,34205,,"-7,55",29
Manicouagan,Impact Crater,0,,34206,,"-68,7","51,38333"
Monturaqui [crater],Impact Crater,0,,34207,,"-68,28333","-23,93333"
La Moinerie,Impact Crater,0,,34208,,"-66,61667","57,43333"
Rio Cuarto,Impact Crater,0,,34209,,"-64,23333","-32,86667"
Montagnais,Impact Crater,0,,34210,,"-64,21667","42,88333"
Mistastin,Impact Crater,0,,34211,,"-63,3","55,88333"
Campo del Cielo [crater],Impact Crater,0,,34212,,"-61,7","-27,63333"
Araguainha,Impact Crater,0,,34213,,"-52,98333","-16,78333"
Vista Alegre,Impact Crater,0,,34214,,"-52,68333","-25,95"
Vargeao Dome,Impact Crater,0,,34215,,"-52,11667","-26,83333"
Serra da Cangalha,Impact Crater,0,,34216,,"-46,86667","-8,08333"
Riachao Ring,Impact Crater,0,,34217,,"-46,65","-7,71667"
Avak,Impact Crater,0,,34218,,"-156,63333","71,25"
Aouelloul,Impact Crater,0,,34219,,"-12,68333","20,25"
Steen River,Impact Crater,0,,34220,,"-117,63333","59,5"
Whitecourt [crater],Impact Crater,0,,34221,,"-115,6",54
Beaverhead,Impact Crater,0,,34222,,-113,"44,6"
Pilot,Impact Crater,0,,34223,,"-111,01667","60,28333"
Barringer,Impact Crater,0,,34224,,"-111,01667","35,03333"
Eagle Butte,Impact Crater,0,,34225,,"-110,5","49,7"
Upheaval Dome,Impact Crater,0,,34226,,"-109,9","38,43333"
Carswell,Impact Crater,0,,34227,,"-109,5","58,45"
Maple Creek,Impact Crater,0,,34228,,"-109,1","49,8"
Cloud Creek,Impact Crater,0,,34229,,"-106,75","43,11667"
Elbow,Impact Crater,0,,34230,,"-106,71667","50,98333"
Santa Fe [crater],Impact Crater,0,,34231,,"-105,93333","35,75"
Gow,Impact Crater,0,,34232,,"-104,48333","56,45"
Red Wing,Impact Crater,0,,34233,,"-103,55","47,6"
Viewfield,Impact Crater,0,,34234,,"-103,06667","49,58333"
Deep Bay,Impact Crater,0,,34235,,"-102,98333","56,4"
Sierra Madera,Impact Crater,0,,34236,,"-102,91667","30,6"
Nicholson,Impact Crater,0,,34237,,"-102,68333","62,66667"
Odessa [crater],Impact Crater,0,,34238,,"-102,48333","31,75"
Newporte,Impact Crater,0,,34239,,"-101,96667","48,96667"
Tenoumer,Impact Crater,0,,34240,,"-10,4","22,91667"
Bosumtwi,Impact Crater,0,,34241,,"-1,41667","6,5"
��st 006,Relict OC,0,,34485,,"13,43333","58,58333"
Benares (b),Iron,0,,34486,,83,"25,33333"
Emesa,Doubtful meteorite,0,,34487,,"36,7","34,73333"
Aphaca,Doubtful meteorite,0,,34488,,"35,86667","34,06667"
Langeac,Pseudometeorite,0,,34489,,"3,51667","45,1"
Ephesus,Doubtful meteorite,0,,34490,,"27,38333","37,95"
Cassandra,Doubtful meteorite,0,,34491,,"23,4","39,98333"
Delphi,Doubtful meteorite,0,,34492,,"22,5","38,48333"
Cormeilles,Pseudometeorite,0,,34493,,"2,21667","48,98333"
Czestochowa Rakow I,Iron,0,,34494,,"19,11667","50,8"
Czestochowa Rakow II,Iron,0,,34495,,"19,11667","50,8"
Cecil Plains,Doubtful meteorite,0,,34496,,"151,18333","-27,51667"
Fujian,Iron,0,,34497,,119,26
Huangling,"Iron, IVA",0,,34498,,110,"29,5"
Duan,Iron,0,,34499,,"108,1","23,9"
Guizhou,Iron,0,,34500,,"107,5","25,4"
Bamenda,Pseudometeorite,0,,34501,,"10,25","5,91667"
Cholula,Doubtful stone,0,,34502,,"-98,33333","15,08333"
Omoa,Doubtful meteorite,0,,34503,,"-87,98333","15,8"
Alto Verde,Pseudometeorite,0,,34504,,"-68,33333","-33,11667"
El Chifl�_n,Iron?,0,,34505,,"-66,83333","-29,43333"
El Marplatense,Pseudometeorite,0,,34506,,"-57,63333","-37,98333"
Mar del Plata,Pseudometeorite,0,,34507,,"-57,53333",-38
Ovifak,Pseudometeorite,0,,34508,,"-53,58333","69,5"
Menabilly,Pseudometeorite,0,,34509,,"-4,66667","50,31667"
Daoukro,Doubtful meteorite,0,,34510,,"-3,96667","7,08333"
Estes Park,Pseudometeorite,0,,34511,,"-105,51667","40,38333"
Baydon,Pseudometeorite,0,,34512,,"-1,6","51,51667"
London,Pseudometeorite,0,,34513,,"-0,16667","51,51667"
Y-793417,H6,"6,91",1979,24343,01.01.1979 00:00,"35,66667","-71,5"
Y-8317,H4,"6,91",1983,24344,01.01.1983 00:00,"35,66667","-71,5"
A-87236,Stone-uncl,"6,91",1987,24345,01.01.1987 00:00,26,-72
A-880335,Stone-uncl,"6,91",1988,24346,01.01.1988 00:00,26,-72
Y-74238,H5,"6,9",1974,24347,01.01.1974 00:00,"35,66667","-71,5"
Y-75071,L6,"6,9",1975,24348,01.01.1975 00:00,"35,66667","-71,5"
Y-792672,H6,"6,9",1979,24349,01.01.1979 00:00,"35,66667","-71,5"
PCA 82515,H4,"6,9",1982,24350,01.01.1982 00:00,"-68,7","-85,63333"
ALH 84229,L6,"6,9",1984,24351,01.01.1984 00:00,"158,81663","-76,73228"
LEW 85342,H5,"6,9",1985,24352,01.01.1985 00:00,"161,37745","-84,27738"
LEW 86010,Angrite,"6,9",1986,24353,01.01.1986 00:00,"161,5352","-84,23589"
LEW 86399,L6,"6,9",1986,24354,01.01.1986 00:00,"161,44042","-84,25533"
LEW 86440,H5,"6,9",1986,24355,01.01.1986 00:00,"161,40834","-84,25534"
LEW 86224,L5,"6,9",1986,24356,01.01.1986 00:00,"161,35958","-84,26184"
LEW 86208,H5,"6,9",1986,24357,01.01.1986 00:00,"161,35012","-84,25295"
LEW 86172,H5,"6,9",1986,24358,01.01.1986 00:00,"161,34279","-84,25712"
A-87022,Stone-uncl,"6,9",1987,24359,01.01.1987 00:00,26,-72
LEW 87002,Eucrite-Mg rich,"6,9",1987,24360,01.01.1987 00:00,"161,27977","-84,36388"
A-880861,Stone-uncl,"6,9",1988,24361,01.01.1988 00:00,26,-72
LEW 88075,L6,"6,9",1988,24362,01.01.1988 00:00,"161,44752","-84,24541"
LEW 88456,H6,"6,9",1988,24363,01.01.1988 00:00,"161,44123","-84,24779"
LEW 88528,H6,"6,9",1988,24364,01.01.1988 00:00,"161,42926","-84,24963"
A-881733,H6,"44,9",1988,14198,01.01.1988 00:00,26,-72
A-87174,H4,"43,57",1987,14344,01.01.1987 00:00,26,-72
A-881761,H6,"32,7",1988,15699,01.01.1988 00:00,26,-72
A-87257,L6,"28,27",1987,16431,01.01.1987 00:00,26,-72
QUE 97410,LL5,"25,6",1997,16963,01.01.1997 00:00,168,-84
A-881141,H6,"25,02",1988,17071,01.01.1988 00:00,26,-72
A-87324,H3,"24,58",1987,17176,01.01.1987 00:00,26,-72
A-87288,H4,"21,26",1987,17950,01.01.1987 00:00,26,-72
A-87315,H4,"19,71",1987,18403,01.01.1987 00:00,26,-72
A-87347,L6,"19,59",1987,18460,01.01.1987 00:00,26,-72
A-87299,H3,"14,79",1987,20006,01.01.1987 00:00,26,-72
QUE 93679,L6,"14,7",1993,20040,01.01.1993 00:00,168,-84
QUE 93722,H5,"11,9",1993,21259,01.01.1993 00:00,168,-84
A-87095,L6,"11,23",1987,21584,01.01.1987 00:00,26,-72
QUE 93717,H5,"10,6",1993,21906,01.01.1993 00:00,168,-84
A-881631,H3,"10,3",1988,22070,01.01.1988 00:00,26,-72
A-881965,H4,"10,1",1988,22162,01.01.1988 00:00,26,-72
Y-81082,L4,"9,39",1981,22598,01.01.1981 00:00,"35,66667","-71,5"
Y-86354,H4,"5,68",1986,25413,01.01.1986 00:00,"35,66667","-71,5"
Y-86218,H4,"5,59",1986,25477,01.01.1986 00:00,"35,66667","-71,5"
Y-74280,H5,"4,66",1974,26359,01.01.1974 00:00,"35,66667","-71,5"
Y-74278,H5,"4,25",1974,26764,01.01.1974 00:00,"35,66667","-71,5"
Y-8303,H5,"3,57",1983,27644,01.01.1983 00:00,"35,66667","-71,5"
EET 90984,L6,"1,9",1990,30281,01.01.1990 00:00,"156,43113","-76,27404"
A-880509,Stone-uncl,"1,5",1988,31100,01.01.1988 00:00,26,-72
