place,type_of_meteorite,mass_g,year,cartodb_id,year_date,longitude,latitude
Burgavli,"Iron, IAB-MG",24900,1941,708,01.01.1941 00:00,"137,46667","66,4"
Deelfontein,"Iron, IAB-MG",28000,1932,638,01.01.1932 00:00,"23,26667","-30,18333"
Bunker Hill,L6,28000,2002,639,01.01.2002 00:00,"-98,72383","38,84833"
Monahans (1938),"Iron, IIF",27900,1938,640,01.01.1938 00:00,"-102,88333","31,48333"
Changxing,H5,27900,1964,641,01.01.1964 00:00,"121,66667","31,33333"
SaU 278,L5,27861,2002,642,01.01.2002 00:00,"57,17887","21,26172"
Kerulensky,Doubtful meteorite,27780,1950,643,01.01.1950 00:00,"115,16667","48,25"
Oakley (stone),H6,27700,1895,644,1895-01-01 00:00:00,"-101,01667","38,95"
Delegate,"Iron, IIIAB-an",27700,1904,645,01.01.1904 00:00,"149,03333",-37
Weldona,H4,27700,1934,646,01.01.1934 00:00,"-103,95","40,35"
El Capitan,"Iron, IIIAB",27500,1893,647,1893-01-01 00:00:00,"-105,5","33,5"
Crathe̼s (1931),"Iron, IVA",27500,1914,648,01.01.1914 00:00,"-40,5","-5,25"
Dumont,"Iron, IVB",27420,1994,649,01.01.1994 00:00,"-100,51667","33,81667"
La Primitiva,"Iron, IIG",27400,1888,650,1888-01-01 00:00:00,"-69,81667","-19,91667"
Dadin,Iron,27300,1949,651,01.01.1949 00:00,"-69,2","-38,91667"
HaH 296,H5/6,27064,2000,652,01.01.2000 00:00,"12,31667","29,1"
Provence,Doubtful meteorite,27000,1627,653,1627-01-01 00:00:00,6,"43,5"
Charsonville,H6,27000,1810,654,1810-01-01 00:00:00,"1,56667","47,93333"
Tazewell,"Iron, IAB-sLH",27000,1853,655,1853-01-01 00:00:00,"-83,75","36,43333"
Indarch,EH4,27000,1891,656,1891-01-01 00:00:00,"46,66667","39,75"
Bendock,Pallasite,27000,1898,657,1898-01-01 00:00:00,"148,91667","-37,15"
Ashfork,"Iron, IAB-MG",27000,1901,658,01.01.1901 00:00,"-112,5","35,25"
Hammond Downs,H4,27000,1950,659,01.01.1950 00:00,"142,8","-25,46667"
Gobabeb,H4,27000,1969,660,01.01.1969 00:00,"15,03333","-23,55"
Naryilco,LL6,27000,1975,661,01.01.1975 00:00,"141,15","-28,6"
Tiffa 001,H5,26900,1997,663,01.01.1997 00:00,"11,933","19,949"
Seagraves (c),L6/7,26810,1989,664,01.01.1989 00:00,"-102,56667","32,98333"
Kaffir (d),L5,26760,1981,665,01.01.1981 00:00,"-101,815","34,67167"
Forestburg (b),L5,26600,1957,666,01.01.1957 00:00,"-97,58861","33,49556"
Wilder,H5,26600,1982,667,01.01.1982 00:00,"-116,91167","43,72444"
Milly Milly,"Iron, IIIAB",26500,1921,668,01.01.1921 00:00,"116,66667","-26,11667"
HaH 280,CK4,26500,2000,669,01.01.2000 00:00,"12,972","28,47017"
Dayton,"Iron, IAB-sLH",26300,1892,670,1892-01-01 00:00:00,"-84,16667","39,75"
Cavour,H6,26210,1938,671,01.01.1938 00:00,"-98,059192","44,221494"
Texline,H5,26200,1937,672,01.01.1937 00:00,"-103,01667","36,4"
Forestburg (a),L4,26100,1957,673,01.01.1957 00:00,"-97,65139","33,50667"
Denver City,"Iron, ungrouped",26100,1975,674,01.01.1975 00:00,"-102,80028","33,07139"
Ilafegh 008,L5,26100,1989,675,01.01.1989 00:00,"1,66667","21,6"
Sierra Gorda,"Iron, IIAB",26000,1898,676,1898-01-01 00:00:00,"-69,35","-22,9"
Cedar (Texas),H4,26000,1900,677,31.12.1899 00:00,"-96,90861","29,82806"
Forest Vale,H4,26000,1942,678,01.01.1942 00:00,"146,85833","-33,35"
DRPA78012,"Iron, IIAB",26000,1978,679,01.01.1978 00:00,"156,38333","-80,06667"
Forrest 002,L6,26000,1980,680,01.01.1980 00:00,"127,88333","-30,98333"
Maslyanino,"Iron, IAB complex",26000,1992,681,01.01.1992 00:00,"84,33333","54,25"
Kumtag,H5,26000,2008,682,01.01.2008 00:00,"93,17306","41,66889"
Seymour,"Iron, IAB-MG",25900,1940,683,01.01.1940 00:00,"-92,78694","37,2375"
